pg_path	mysql_category	mysql_domain	mysql_statement_key	status	reviewer	notes
skills/pg-sql-generation/references/statements/ddl/table/create_table.md	ddl	table	create_table	reference_created	main	MySQL CREATE TABLE reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/ddl/table/alter_table.md	ddl	table	alter_table	reference_created	DDL second batch	MySQL ALTER TABLE reference created.
skills/pg-sql-generation/references/statements/ddl/table/drop_table.md	ddl	table	drop_table	reference_created	DDL second batch	MySQL DROP TABLE reference created.
skills/pg-sql-generation/references/statements/ddl/index/create_index.md	ddl	index	create_index	reference_created	main	MySQL CREATE INDEX reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/ddl/index/drop_index.md	ddl	index	drop_index	reference_created	DDL second batch	MySQL DROP INDEX reference created.
skills/pg-sql-generation/references/statements/dml/table/insert.md	dml	table	insert	reference_created	main	MySQL INSERT reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/tcl/transaction/begin.md	tcl	transaction	start_transaction	reference_created	main	MySQL START TRANSACTION / BEGIN reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/tcl/transaction/commit.md	tcl	transaction	commit	reference_created	main	MySQL COMMIT reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/tcl/transaction/rollback.md	tcl	transaction	rollback	reference_created	main	MySQL ROLLBACK reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/prepared/prepared_statement/prepare.md	prepared	prepared_statement	prepare	reference_created	main	MySQL PREPARE reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/utility/plan/explain.md	utility	plan	explain	reference_created	main	MySQL EXPLAIN reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/utility/statistics/analyze.md	utility	statistics	analyze_table	reference_created	main	MySQL ANALYZE TABLE reference created and retained after full migration review.
skills/pg-sql-generation/references/statements/ddl/database/create_database.md	ddl	database	create_database	reference_created	main	MySQL CREATE DATABASE reference created.
skills/pg-sql-generation/references/statements/ddl/database/alter_database.md	ddl	database	alter_database	reference_created	DDL second batch	MySQL ALTER DATABASE reference created.
skills/pg-sql-generation/references/statements/ddl/database/drop_database.md	ddl	database	drop_database	reference_created	DDL second batch	MySQL DROP DATABASE reference created.
skills/pg-sql-generation/references/statements/ddl/view/create_view.md	ddl	view	create_view	reference_created	DDL second batch	MySQL CREATE VIEW reference created.
skills/pg-sql-generation/references/statements/ddl/view/alter_view.md	ddl	view	alter_view	reference_created	DDL second batch	MySQL ALTER VIEW reference created.
skills/pg-sql-generation/references/statements/ddl/view/drop_view.md	ddl	view	drop_view	reference_created	DDL second batch	MySQL DROP VIEW reference created.
skills/pg-sql-generation/references/statements/ddl/schema/create_schema.md	ddl	schema	create_schema	reference_created	DDL second batch	MySQL CREATE SCHEMA synonym reference created.
skills/pg-sql-generation/references/statements/ddl/schema/alter_schema.md	ddl	schema	alter_schema	reference_created	DDL second batch	MySQL ALTER SCHEMA synonym reference created.
skills/pg-sql-generation/references/statements/ddl/schema/drop_schema.md	ddl	schema	drop_schema	reference_created	DDL second batch	MySQL DROP SCHEMA synonym reference created.
skills/pg-sql-generation/references/statements/ddl/table/truncate.md	ddl	table	truncate	reference_created	DDL second batch	MySQL TRUNCATE TABLE reference created.
skills/pg-sql-generation/references/statements/dml/query/select.md	dml	query	select	reference_created	DML query/table	MySQL SELECT reference created.
skills/pg-sql-generation/references/statements/dml/query/values.md	dml	query	values	reference_created	DML query/table	MySQL VALUES reference created.
mysql_missing	dml	query	table	reference_created	DML query/table	MySQL TABLE statement added from official docs.
skills/pg-sql-generation/references/statements/dml/table/update.md	dml	table	update	reference_created	DML query/table	MySQL UPDATE reference created.
skills/pg-sql-generation/references/statements/dml/table/delete.md	dml	table	delete	reference_created	DML query/table	MySQL DELETE reference created.
skills/pg-sql-generation/references/statements/dml/table/merge.md	dml	table	merge	drop_pg_only	DML query/table	MySQL 8.0.22 has no MERGE statement.
skills/pg-sql-generation/references/statements/dml/routine/call.md	dml	routine	call	reference_created	DML query/table	MySQL CALL reference created.
skills/pg-sql-generation/references/statements/dcl/privilege/revoke.md	dcl	privilege	revoke	reference_created	main	MySQL REVOKE reference created.
mysql_missing	account	user	create_user	reference_created	main	MySQL CREATE USER reference created.
mysql_missing	account	user	drop_user	reference_created	main	MySQL DROP USER reference created.
mysql_missing	account	role	create_role	reference_created	main	MySQL CREATE ROLE reference created.
mysql_missing	account	user	alter_user	reference_created	account/admin	MySQL ALTER USER reference created.
mysql_missing	account	user	rename_user	reference_created	account/admin	MySQL RENAME USER reference created.
mysql_missing	account	user	set_password	reference_created	account/admin	MySQL SET PASSWORD reference created.
mysql_missing	account	role	drop_role	reference_created	account/admin	MySQL DROP ROLE reference created.
mysql_missing	account	role	set_default_role	reference_created	account/admin	MySQL SET DEFAULT ROLE reference created.
skills/pg-sql-generation/references/statements/session/runtime_parameter/set.md	session	runtime_parameter	set	reference_created	main	MySQL SET reference created.
skills/pg-sql-generation/references/statements/session/runtime_parameter/show.md	session	runtime_parameter	show	reference_created	main	MySQL SHOW reference created.
skills/pg-sql-generation/references/statements/session/runtime_parameter/reset.md	session	runtime_parameter	reset	reference_created	main	MySQL RESET reference created.
skills/pg-sql-generation/references/statements/session/authorization/set_role.md	session	authorization	set_role	reference_created	main	MySQL SET ROLE reference created.
mysql_missing	session	database	use	reference_created	account/admin	MySQL USE reference created.
mysql_missing	utility	help	help	reference_created	account/admin	MySQL HELP reference created.
mysql_missing	admin	session	kill	reference_created	account/admin	MySQL KILL reference created with safe negative defaults.
mysql_missing	admin	server	flush	reference_created	account/admin	MySQL FLUSH reference created.
mysql_missing	admin	server	shutdown	reference_created	account/admin	MySQL SHUTDOWN reference created with safe negative defaults.
mysql_missing	admin	server	restart	reference_created	account/admin	MySQL RESTART reference created with safe negative defaults.
mysql_missing	utility	maintenance	check_table	reference_created	account/admin	MySQL CHECK TABLE reference created.
mysql_missing	utility	maintenance	checksum_table	reference_created	account/admin	MySQL CHECKSUM TABLE reference created.
mysql_missing	utility	maintenance	optimize_table	reference_created	account/admin	MySQL OPTIMIZE TABLE reference created.
mysql_missing	utility	maintenance	repair_table	reference_created	account/admin	MySQL REPAIR TABLE reference created.
skills/pg-sql-generation/references/statements/cursor/cursor/declare.md	cursor	cursor	declare	reference_created	cursor/XA	MySQL stored-program DECLARE CURSOR reference created.
mysql_missing	cursor	cursor	open	reference_created	cursor/XA	MySQL OPEN CURSOR reference created.
skills/pg-sql-generation/references/statements/cursor/cursor/fetch.md	cursor	cursor	fetch	reference_created	cursor/XA	MySQL FETCH CURSOR reference created.
skills/pg-sql-generation/references/statements/cursor/cursor/close.md	cursor	cursor	close	reference_created	cursor/XA	MySQL CLOSE CURSOR reference created.
skills/pg-sql-generation/references/statements/cursor/cursor/move.md	cursor	cursor	move	drop_pg_only	cursor/XA	MySQL has no cursor MOVE statement.
mysql_missing	tcl	xa	xa_start	reference_created	cursor/XA	MySQL XA START reference created.
mysql_missing	tcl	xa	xa_end	reference_created	cursor/XA	MySQL XA END reference created.
skills/pg-sql-generation/references/statements/tcl/two_phase_transaction/prepare_transaction.md	tcl	xa	xa_prepare	reference_created	cursor/XA	PG PREPARE TRANSACTION mapped to MySQL XA PREPARE.
skills/pg-sql-generation/references/statements/tcl/two_phase_transaction/commit_prepared.md	tcl	xa	xa_commit	reference_created	cursor/XA	PG COMMIT PREPARED mapped to MySQL XA COMMIT.
skills/pg-sql-generation/references/statements/tcl/two_phase_transaction/rollback_prepared.md	tcl	xa	xa_rollback	reference_created	cursor/XA	PG ROLLBACK PREPARED mapped to MySQL XA ROLLBACK.
mysql_missing	tcl	xa	xa_recover	reference_created	cursor/XA	MySQL XA RECOVER reference created.
mysql_missing	dml	expression	do	reference_created	cursor/XA	MySQL DO expression statement created.
mysql_missing	dml	table	replace	reference_created	cursor/XA	MySQL REPLACE reference created.
skills/pg-sql-generation/references/statements/utility/data_transfer/copy.md	utility	data_transfer	load_data	reference_created	cursor/XA	PG COPY FROM intent mapped to MySQL LOAD DATA.
mysql_missing	utility	data_transfer	load_xml	reference_created	cursor/XA	MySQL LOAD XML reference created.
mysql_missing	dml	table	handler	reference_created	cursor/XA	MySQL HANDLER reference created.
mysql_missing	utility	data_transfer	import_table	reference_created	cursor/XA	MySQL IMPORT TABLE reference created.
skills/pg-sql-generation/references/statements/ddl/procedure/create_procedure.md	ddl	procedure	create_procedure	reference_created	stored/server	MySQL CREATE PROCEDURE reference created; routine IF NOT EXISTS excluded for 8.0.22.
skills/pg-sql-generation/references/statements/ddl/procedure/alter_procedure.md	ddl	procedure	alter_procedure	reference_created	stored/server	MySQL ALTER PROCEDURE reference created; only characteristics are alterable.
skills/pg-sql-generation/references/statements/ddl/procedure/drop_procedure.md	ddl	procedure	drop_procedure	reference_created	stored/server	MySQL DROP PROCEDURE reference created.
