statement_key	source_reference	factor	tier	value	synopsis_change	document_change	review_status	catalog_readiness	factor_disposition	required_test_points	official_source_target	evidence
create_role	references/statements/account/role/create_role.md	if_not_exists	T1	omitted	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
create_role	references/statements/account/role/create_role.md	if_not_exists	T1	present	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
create_role	references/statements/account/role/create_role.md	role_name_shape	T1	simple_role	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
create_role	references/statements/account/role/create_role.md	role_name_shape	T1	quoted_role	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
create_role	references/statements/account/role/create_role.md	role_state	T1	missing	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
create_role	references/statements/account/role/create_role.md	role_state	T1	already_exists	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
create_role	references/statements/account/role/create_role.md	expected_status	T1	success	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
create_role	references/statements/account/role/create_role.md	expected_status	T1	failure	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/create-role.html	mysql-8.0.22-manual:5107288b8df7a481
drop_role	references/statements/account/role/drop_role.md	if_exists	T1	omitted	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/drop-role.html	mysql-8.0.22-manual:0d09da547961adc0
drop_role	references/statements/account/role/drop_role.md	if_exists	T1	present	edition_baseline	edition_baseline	static_reviewed	static_ready	mysql_native		https://dev.mysql.com/doc/refman/8.0/en/drop-role.html	mysql-8.0.22-manual:0d09da547961adc0
