test_id,algorithm,expected,actual,verification,ddl_duration,dml_ops,dml_errors,details
MAX_COLS,,,,,,,,"{""instant"": {""success"": true, ""duration"": 0.3785, ""error"": null, ""data_check"": ""(1015,)""}, ""inplace"": {""success"": true, ""duration"": 0.209, ""error"": null, ""data_check"": ""(1015,)""}}"
CONSECUTIVE_INSTANT,,,,,,,,"{""add_10_cols"": {""duration"": 0.615}, ""qps_after_10"": {""qps"": 47.29, ""duration"": 2.1145}, ""insert_qps_after_10"": {""qps"": 4328.44}, ""add_30_cols"": {""duration"": 1.4599}, ""qps_after_30"": {""qps"": 46.76, ""duration"": 2.1385}, ""insert_qps_after_30"": {""qps"": 4635.88}, ""add_50_cols"": {""duration"": 2.4356}, ""qps_after_50"": {""qps"": 47.42, ""duration"": 2.1087}, ""insert_qps_after_50"": {""qps"": 4247.77}}"
DDL_FUZZ,,,,,,,,"{""rounds"": [], ""memory_snapshots"": [{""round"": 0, ""total_innodb_bytes"": 0, ""top_alloc"": []}, {""round"": 50, ""total_innodb_bytes"": 0, ""top_alloc"": []}], ""memory_growth_pct"": 0, ""verdict"": ""NO_LEAK""}"
CHAIN,,,,PASS,,,,"{""SMALLINT"": {""success"": true, ""duration"": 0.0415, ""error"": null, ""new_range_insert"": ""OK""}, ""MEDIUMINT"": {""success"": true, ""duration"": 0.0411, ""error"": null, ""new_range_insert"": ""OK""}, ""INT"": {""success"": true, ""duration"": 0.042, ""error"": null, ""new_range_insert"": ""OK""}, ""BIGINT"": {""success"": true, ""duration"": 0.0374, ""error"": null, ""new_range_insert"": ""OK""}, ""verification"": ""PASS"", ""u_SMALLINT UNSIGNED"": {""success"": true, ""error"": null}, ""u_MEDIUMINT UNSIGNED"": {""success"": true, ""error"": null},"
MULTI_COL,,,,,,,,"{""inplace"": {""success"": false, ""duration"": 0.0385, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')""}, ""instant"": {""success"": true, ""duration"": 0.0416, ""error"": null}}"
SAME_KEY,,,True,PASS,0.0548,,,"{""ddl"": {""success"": true, ""duration"": 0.0548, ""error"": null}, ""verification"": ""PASS"", ""unique_check"": ""PASS""}"
UNIQUE_CONFLICT,,,True,PASS,0.0564,,,"{""ddl"": {""success"": true, ""duration"": 0.0564, ""error"": null}, ""verification"": ""PASS"", ""unique_check"": ""PASS""}"
VIRTUAL_COL,,,,,,,,"{""inplace_shared"": {""success"": true, ""duration"": 0.0458, ""error"": null, ""post_data"": ""((1, 100, 200), (2, -1, -2), (3, 0, 0), (4, 2147483647, 4294967294), (5, None, None), (6, 2147483648, 4294967296))"", ""gen_check"": ""(2147483648, 4294967296)""}, ""lock_none_expected_fail"": {""success"": true, ""error"": null, ""expected"": ""FAIL""}, ""instant_expected_fail"": {""success"": true, ""error"": null, ""expected"": ""FAIL""}}"
INDEX,,,True,PASS,0.0495,,,"{""ddl"": {""success"": true, ""duration"": 0.0495, ""error"": null}, ""idx_asc_works"": true, ""idx_desc_works"": true, ""verification"": ""PASS""}"
VIEW,,,True,,,,,"{""pre_v1"": ""((1, 100, 'hello'),)"", ""pre_v2"": ""((1, 200), (2, -2), (3, 0))"", ""ddl"": {""success"": true, ""error"": null}, ""post_v1"": ""((1, 100, 'hello'),)"", ""post_v2"": ""((1, 200), (2, -2), (3, 0))"", ""v1_match"": true, ""v2_match"": true, ""v1_with_new"": ""((1, 100, 'hello'), (4, 2147483648, 'new'))"", ""alter_view_rejected"": true}"
TEMP_TABLE,,,,,,,,"{""instant"": {""success"": false, ""error"": ""(1845, 'ALGORITHM=INSTANT is not supported for this operation. Try ALGORITHM=COPY.')"", ""expected"": ""FAIL""}, ""inplace"": {""success"": false, ""error"": ""(1845, 'ALGORITHM=INPLACE is not supported for this operation. Try ALGORITHM=COPY.')"", ""expected"": ""FAIL""}, ""table_usable"": true, ""data_intact"": ""((1, 100, 'hello'), (2, -1, None))""}"
CONSEC_DDL_PERF,,,,,,,,"{""rounds"": [{""round"": 0, ""duration"": 0.0475, ""success"": true}, {""round"": 1, ""duration"": 0.1183, ""success"": true}, {""round"": 2, ""duration"": 0.0389, ""success"": true}, {""round"": 3, ""duration"": 0.0445, ""success"": true}, {""round"": 4, ""duration"": 0.153, ""success"": true}, {""round"": 5, ""duration"": 0.0387, ""success"": true}, {""round"": 6, ""duration"": 0.0449, ""success"": true}, {""round"": 7, ""duration"": 0.14, ""success"": true}, {""round"": 8, ""duration"": 0.0429, ""success"": true}, {""round"": 9, ""duration"": 0.0544,"
VARCHAR_BOUNDARY,,,,,,,,"{""VAR-255L-DYN"": {""success"": true, ""duration"": 0.1233, ""verification"": ""PASS""}, ""VAR-255L-CMP"": {""success"": true, ""duration"": 0.0502, ""verification"": ""PASS""}, ""VAR-255L-RED"": {""success"": true, ""duration"": 0.0539, ""verification"": ""PASS""}, ""VAR-255L-PRS"": {""success"": true, ""duration"": 0.0509, ""verification"": ""PASS""}, ""VAR-85U3-DYN"": {""success"": true, ""duration"": 0.0483, ""verification"": ""PASS""}, ""VAR-63U4-DYN"": {""success"": true, ""duration"": 0.0473, ""verification"": ""PASS""}, ""CHAR-PAD"": {""success"": t"
DECIMAL_BOUNDARY,,,,,,,,"{""DEC-9to10_D2"": {""success"": false, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')""}, ""DEC-18to19_D2"": {""success"": false, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')""}, ""DEC-27to28_D2"": {""success"": false, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')""}, ""DEC-36to37_D2"": {""success"
CD-INT-S-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.0304,565,3,"{""test_id"": ""CD-INT-S-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0304, ""dml_ops"": 565, ""dml_errors"": 3, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=100047""], ""ddl_expected_match"": true, ""t1_count"": 43, ""t2_count"": 42, ""count_match"": false}"
CD-INT-S-INSTANT,INSTANT,SUCCESS,SUCCESS,FAIL,0.0227,600,3,"{""test_id"": ""CD-INT-S-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0227, ""dml_ops"": 600, ""dml_errors"": 3, ""verification"": ""FAIL"", ""mismatches"": [""t1_extra: id=100060"", ""t2_extra: id=100021"", ""t2_extra: id=100026"", ""t2_extra: id=100037"", ""data_mismatch: id=100038"", ""data_mismatch: id=100120""], ""ddl_expected_match"": true, ""t1_count"": 42, ""t2_count"": 44, ""count_match"": false}"
CD-INT-U-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0651,617,5,"{""test_id"": ""CD-INT-U-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0651, ""dml_ops"": 617, ""dml_errors"": 5, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 53, ""t2_count"": 53, ""count_match"": true}"
