test_id,category,old_type,new_type,algorithm,expected,row_count,ddl_duration,dml_ops,dml_errors,pre_ddl_qps,during_ddl_qps,ddl_qps_drop_pct,verification,details
LT-INT-BIGINT-IP,integer,INT,BIGINT,INPLACE,,100000,0.27,1173,0,96.7,105.9,-9.5,PASS,"{""test_id"": ""LT-INT-BIGINT-IP"", ""category"": ""integer"", ""old_type"": ""INT"", ""new_type"": ""BIGINT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1517775826)"", ""t2"": ""('ddl_test.t_large_oracle', 745772234)""}, ""ddl"": {""success"": true, ""duration"": 0.27, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1173, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 242, ""errors"": 0}, ""UPDATE"": {""ops"": 118, ""errors"": 0}, ""DELETE"": {""ops"": 1"
LT-INT-BIGINT-IT,integer,INT,BIGINT,INSTANT,,100000,0.05,1019,0,92.3,97.6,-5.7,PASS,"{""test_id"": ""LT-INT-BIGINT-IT"", ""category"": ""integer"", ""old_type"": ""INT"", ""new_type"": ""BIGINT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3680527368)"", ""t2"": ""('ddl_test.t_large_oracle', 1653806238)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1019, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 249, ""errors"": 0}, ""UPDATE"": {""ops"": 97, ""errors"": 0}, ""DELETE"": {""ops"": 1"
LT-TINY-SMALL-IP,integer,TINYINT,SMALLINT,INPLACE,,100000,0.24,1155,0,97.6,105.9,-8.5,PASS,"{""test_id"": ""LT-TINY-SMALL-IP"", ""category"": ""integer"", ""old_type"": ""TINYINT"", ""new_type"": ""SMALLINT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3069009657)"", ""t2"": ""('ddl_test.t_large_oracle', 1090063267)""}, ""ddl"": {""success"": true, ""duration"": 0.24, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1155, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 260, ""errors"": 0}, ""UPDATE"": {""ops"": 92, ""errors"": 0}, ""DELETE"": {""o"
LT-TINY-SMALL-IT,integer,TINYINT,SMALLINT,INSTANT,,100000,0.07,1005,0,87.8,94.5,-7.6,PASS,"{""test_id"": ""LT-TINY-SMALL-IT"", ""category"": ""integer"", ""old_type"": ""TINYINT"", ""new_type"": ""SMALLINT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 890665584)"", ""t2"": ""('ddl_test.t_large_oracle', 2508126314)""}, ""ddl"": {""success"": true, ""duration"": 0.07, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1005, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 201, ""errors"": 0}, ""UPDATE"": {""ops"": 108, ""errors"": 0}, ""DELETE"": {""o"
LT-TINY-INT-IP,integer,TINYINT,INT,INPLACE,,100000,0.24,1063,0,76.0,94.9,-24.9,PASS,"{""test_id"": ""LT-TINY-INT-IP"", ""category"": ""integer"", ""old_type"": ""TINYINT"", ""new_type"": ""INT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3069009657)"", ""t2"": ""('ddl_test.t_large_oracle', 1569830828)""}, ""ddl"": {""success"": true, ""duration"": 0.24, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1063, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 200, ""errors"": 0}, ""UPDATE"": {""ops"": 105, ""errors"": 0}, ""DELETE"": {""ops"": 1"
LT-TINY-INT-IT,integer,TINYINT,INT,INSTANT,,100000,0.05,1027,0,83.4,98.8,-18.5,PASS,"{""test_id"": ""LT-TINY-INT-IT"", ""category"": ""integer"", ""old_type"": ""TINYINT"", ""new_type"": ""INT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 890665584)"", ""t2"": ""('ddl_test.t_large_oracle', 1770192751)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1027, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 236, ""errors"": 0}, ""UPDATE"": {""ops"": 101, ""errors"": 0}, ""DELETE"": {""ops"": 15"
LT-TINY-BIG-IT,integer,TINYINT,BIGINT,INSTANT,,100000,0.09,1015,0,91.9,95.9,-4.4,PASS,"{""test_id"": ""LT-TINY-BIG-IT"", ""category"": ""integer"", ""old_type"": ""TINYINT"", ""new_type"": ""BIGINT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 890665584)"", ""t2"": ""('ddl_test.t_large_oracle', 1755594630)""}, ""ddl"": {""success"": true, ""duration"": 0.09, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1015, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 247, ""errors"": 0}, ""UPDATE"": {""ops"": 102, ""errors"": 0}, ""DELETE"": {""ops"":"
LT-SMALL-MED-IP,integer,SMALLINT,MEDIUMINT,INPLACE,,100000,0.25,1165,0,98.6,103.1,-4.6,PASS,"{""test_id"": ""LT-SMALL-MED-IP"", ""category"": ""integer"", ""old_type"": ""SMALLINT"", ""new_type"": ""MEDIUMINT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2664576771)"", ""t2"": ""('ddl_test.t_large_oracle', 325708793)""}, ""ddl"": {""success"": true, ""duration"": 0.25, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1165, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 223, ""errors"": 0}, ""UPDATE"": {""ops"": 105, ""errors"": 0}, ""DELETE"": {"""
LT-SMALL-MED-IT,integer,SMALLINT,MEDIUMINT,INSTANT,,100000,0.08,1047,0,91.4,99.3,-8.6,PASS,"{""test_id"": ""LT-SMALL-MED-IT"", ""category"": ""integer"", ""old_type"": ""SMALLINT"", ""new_type"": ""MEDIUMINT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2598474376)"", ""t2"": ""('ddl_test.t_large_oracle', 1016848830)""}, ""ddl"": {""success"": true, ""duration"": 0.08, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1047, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 261, ""errors"": 0}, ""UPDATE"": {""ops"": 106, ""errors"": 0}, ""DELETE"": {"
LT-SMALL-INT-IT,integer,SMALLINT,INT,INSTANT,,100000,0.05,1047,0,89.2,97.9,-9.8,PASS,"{""test_id"": ""LT-SMALL-INT-IT"", ""category"": ""integer"", ""old_type"": ""SMALLINT"", ""new_type"": ""INT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2598474376)"", ""t2"": ""('ddl_test.t_large_oracle', 4073927057)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1047, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 268, ""errors"": 0}, ""UPDATE"": {""ops"": 105, ""errors"": 0}, ""DELETE"": {""ops"":"
