statement_key	source_reference	factor	tier	value	synopsis_change	document_change	review_status	catalog_readiness	factor_disposition	required_test_points	official_source_target	evidence
abort	references/statements/tcl/transaction/abort.md	chain_behavior	T2	and_chain	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	chain_behavior	T2	and_no_chain	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	chain_behavior	T2	none	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	cleanup_mode	T6	drop_objects	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	cleanup_mode	T6	reset_state	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	cleanup_mode	T6	rollback	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	environment_context	T4	external_resource_required	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	environment_context	T4	normal_session	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	environment_context	T4	outside_transaction_required	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	environment_context	T4	transaction_block	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	expected_status	T1	failure	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	expected_status	T1	success	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	framework_context	T4	no_outer_transaction	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	framework_context	T4	outer_transaction_present	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	invalid_combination	T5	none	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	invalid_combination	T5	object_type_mismatch	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	invalid_combination	T5	syntax_valid_semantic_error	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
abort	references/statements/tcl/transaction/abort.md	savepoint_name_shape	T3	missing_name	unchanged	unchanged	static_reviewed	static_ready	inherited_unchanged		https://www.postgresql.org/docs/18/sql-abort.html	sql-abort:ef1287313ca4
